,dap,target,error,class
293,65311,64753.935,-557.0650000000023,1
294,68146,67688.042,-457.9579999999987,1
295,71082,70487.75,-594.25,1
296,73299,72560.03,-738.9700000000012,1
297,73720,72975.464,-744.5359999999928,1
298,73621,72866.68,-754.320000000007,1
299,72572,71952.455,-619.5449999999983,1
300,71911,71250.955,-660.0449999999983,1
301,71149,70631.247,-517.752999999997,1
302,70580,70000.079,-579.9210000000021,1
303,71121,70141.89,-979.1100000000006,1
304,71856,71062.396,-793.6040000000066,1
305,73524,72331.378,-1192.622000000003,1
306,73974,72979.279,-994.721000000005,1
307,75011,74099.729,-911.2709999999934,1
308,76037,75276.68,-760.320000000007,1
309,74416,73255.783,-1160.2170000000042,1
310,71397,70360.643,-1036.3570000000036,1
311,67834,66880.26,-953.7400000000052,1
312,64402,63864.841,-537.1589999999997,1
313,62528,61810.197,-717.8029999999999,1
314,61393,60758.159,-634.8410000000003,1
315,60802,60012.962,-789.0380000000005,1
316,60996,60074.639,-921.3609999999971,1
317,61455,60888.888,-566.112000000001,1
318,63303,62775.956,-527.0440000000017,1
319,65676,65189.236,-486.76400000000285,1
320,69094,68354.283,-739.7170000000042,1
321,72218,71466.091,-751.9089999999997,1
322,74131,73526.335,-604.6649999999936,1
323,75264,74655.331,-608.6689999999944,1
324,75857,75149.389,-707.6110000000044,1
325,75614,74864.127,-749.8730000000069,1
326,75138,74453.001,-684.9989999999962,1
327,74965,74420.71,-544.2899999999936,1
328,75676,75254.775,-421.2250000000058,1
329,77867,76893.143,-973.8570000000036,1
330,79342,77998.835,-1343.1649999999936,1
331,80302,79286.681,-1015.3190000000031,1
332,81472,80462.16,-1009.8399999999965,1
333,78623,78484.294,-138.7060000000056,1
334,75635,75336.247,-298.752999999997,1
335,72224,72018.926,-205.07399999999325,1
336,70577,69753.595,-823.4049999999988,1
337,69021,68580.698,-440.30199999999604,1
338,69034,68534.425,-499.5749999999971,1
339,69451,69039.373,-411.62699999999313,1
340,71413,71351.637,-61.362999999997555,1
341,76187,75898.101,-288.8990000000049,1
342,83850,83465.544,-384.4560000000056,1
343,89610,88839.417,-770.5829999999987,1
344,90547,89826.143,-720.8570000000036,1
345,88983,88343.1,-639.8999999999942,1
346,87110,86508.912,-601.0880000000034,1
347,85000,84481.625,-518.375,1
348,83316,82736.821,-579.1790000000037,1
349,81944,81239.148,-704.851999999999,1
350,80121,79338.142,-782.8579999999929,1
351,78703,77997.951,-705.0489999999991,1
352,78344,77798.415,-545.5850000000064,1
353,79389,78602.31,-786.6900000000023,1
354,82479,79821.06,-2657.9400000000023,0
355,82426,82128.922,-297.07799999999406,1
356,85712,84661.639,-1050.3610000000044,1
357,83067,82913.622,-153.37799999999697,1
358,79642,79245.33,-396.66999999999825,1
359,75525,75650.242,125.24199999999837,1
360,73662,73087.612,-574.3880000000063,1
361,72225,71690.918,-534.0819999999949,1
362,71632,71188.599,-443.400999999998,1
363,71865,71603.858,-261.1420000000071,1
364,74640,73798.983,-841.0170000000071,1
365,78641,78181.124,-459.87600000000384,1
366,85877,85238.291,-638.7090000000026,1
367,90195,89410.18,-784.820000000007,1
368,89010,88240.968,-769.0320000000065,1
369,85931,85144.385,-786.6150000000052,1
370,83656,82728.486,-927.5139999999956,1
371,81576,80905.381,-670.619000000006,1
372,80219,79742.108,-476.8920000000071,1
373,79268,78644.774,-623.2259999999951,1
374,78340,77559.226,-780.7740000000049,1
375,77564,76995.066,-568.9339999999938,1
376,77782,77228.222,-553.7780000000057,1
377,78727,78285.059,-441.94100000000617,1
378,80677,79191.758,-1485.2419999999984,1
379,81830,81083.732,-746.2679999999964,1
380,83638,82785.676,-852.3239999999932,1
381,80701,80233.644,-467.35599999999977,1
382,76499,75703.653,-795.3469999999943,1
383,72253,71200.932,-1052.0679999999993,1
384,68420,67925.732,-494.2679999999964,1
385,66398,66010.017,-387.9829999999929,1
386,65493,65000.631,-492.3689999999988,1
387,65137,64782.147,-354.8530000000028,1
388,66798,65949.984,-848.0160000000033,1
