dap,target,error,class,class2
62804,62284.087,-519.913,0,0
63662,63220.635,-441.365,0,0
66890,66542.869,-347.131,0,0
72497,71891.738,-605.262,1,1
77451,76455.018,-995.982,1,1
79535,78752.99,-782.01,1,1
80582,79922.166,-659.834,1,1
81314,80553.011,-760.989,1,1
81408,81119.638,-288.362,1,1
81348,81357.607,9.607,1,1
82145,81697.99,-447.01,1,1
82182,81386.336,-795.664,1,1
81466,80661.802,-804.198,1,1
81184,80556.374,-627.626,1,1
81112,80558.442,-553.558,1,1
80473,80068.926,-404.074,1,1
80628,80083.456,-544.544,1,1
81283,80113.876,-1169.124,1,1
78741,77945.536,-795.464,1,1
74486,73735.098,-750.902,1,1
70456,69511.22,-944.78,0,0
66367,65742.508,-624.492,0,0
63993,63227.343,-765.657,0,0
62446,61728.173,-717.827,0,0
61530,60923.165,-606.835,0,0
61832,61150.046,-681.954,0,0
62999,62282.234,-716.766,0,0
65193,64696.197,-496.803,0,0
68421,66827.278,-1593.722,0,0
70874,69821.672,-1052.328,0,0
72482,71754.776,-727.224,1,1
73447,72896.664,-550.336,1,1
73786,72955.726,-830.274,1,1
73518,72970.549,-547.451,1,1
73279,72602.284,-676.716,1,1
73228,72585.925,-642.075,1,1
73554,73021.187,-532.813,1,1
74545,73866.112,-678.888,1,1
75508,74897.728,-610.272,1,1
76117,75339.641,-777.359,1,1
76332,76072.293,-259.707,1,1
78003,76946.276,-1056.724,1,1
75592,74879.718,-712.282,1,1
72525,71425.354,-1099.646,1,1
68554,67531.312,-1022.688,0,0
64743,64047.797,-695.203,0,0
62494,61670.469,-823.531,0,0
60838,60208.878,-629.122,0,0
60128,59425.792,-702.208,0,0
59875,59273.571,-601.429,0,0
60740,59919.215,-820.785,0,0
62224,61524.131,-699.869,0,0
64338,63107.067,-1230.933,0,0
67074,66256.697,-817.303,0,0
69770,68928.304,-841.696,0,0
71533,71000.515,-532.485,1,1
72935,71926.475,-1008.525,1,1
73193,72704.986,-488.014,1,1
73424,72984.594,-439.406,1,1
73681,73045.238,-635.762,1,1
74083,73605.929,-477.071,1,1
75072,74533.973,-538.027,1,1
76745,75940.792,-804.208,1,1
77563,76585.904,-977.096,1,1
77871,77520.4,-350.6,1,1
79432,78647.367,-784.633,1,1
76979,76363.286,-615.714,1,1
73477,72157.142,-1319.858,1,1
68686,68054.804,-631.196,0,0
65904,64947.738,-956.262,0,0
64253,63119.147,-1133.853,0,0
62792,62144.868,-647.132,0,0
62431,61915.673,-515.327,0,0
63901,63404.836,-496.164,0,0
67484,67246.245,-237.755,0,0
74244,73835.843,-408.157,1,1
79072,78601.575,-470.425,1,1
81668,80943.242,-724.758,1,1
82496,82023.905,-472.095,1,1
83172,82923.28,-248.72,1,1
83356,82758.519,-597.481,1,1
83481,83041.448,-439.552,1,1
83156,82682.49,-473.51,1,1
82223,81798.371,-424.629,1,1
81214,80778.655,-435.345,1,1
81109,80655.556,-453.444,1,1
81712,81265.985,-446.015,1,1
82617,81571.585,-1045.415,1,1
83107,82055.209,-1051.791,1,1
83354,82857.236,-496.764,1,1
80595,80488.263,-106.737,1,1
76803,76021.377,-781.623,1,1
72346,71581.063,-764.937,1,1
68858,68260.348,-597.652,0,0
67114,66336.885,-777.115,0,0
65794,65376.302,-417.698,0,0
65642,65238.071,-403.929,0,0
66997,66752.841,-244.159,0,0
70920,70631.198,-288.802,0,0
77327,76888.574,-438.426,1,1
81484,80861.461,-622.539,1,1
82953,82013.268,-939.732,1,1
82027,81898.217,-128.783,1,1
81291,80871.719,-419.281,1,1
80866,80211.386,-654.614,1,1
79574,79189.097,-384.903,1,1
79041,78466.933,-574.067,1,1
78307,77755.882,-551.118,1,1
77802,77088.912,-713.088,1,1
77774,77268.754,-505.246,1,1
78807,78001.241,-805.759,1,1
79649,78909.545,-739.455,1,1
81123,79808.107,-1314.893,1,1
82334,81751.26,-582.74,1,1
80173,79517.323,-655.677,1,1
75978,74884.232,-1093.768,1,1
70844,70241.372,-602.628,0,0
67528,66919.749,-608.251,0,0
65452,64895.116,-556.884,0,0
64569,64094.397,-474.603,0,0
64643,63984.601,-658.399,0,0
65768,65514.045,-253.955,0,0
69767,69324.105,-442.895,0,0
75779,75387.143,-391.857,1,1
80539,79292.256,-1246.744,1,1
80809,80319.463,-489.537,1,1
80622,79876.01,-745.99,1,1
80317,79756.79,-560.21,1,1
80364,79799.744,-564.256,1,1
80883,80306.372,-576.628,1,1
81077,80580.927,-496.073,1,1
80589,80079.566,-509.434,1,1
80018,79630.649,-387.351,1,1
80055,79780.379,-274.621,1,1
80713,80175.85,-537.15,1,1
81330,80574.217,-755.783,1,1
81732,81339.013,-392.987,1,1
82411,82344.464,-66.536,1,1
80888,79972.352,-915.648,1,1
76319,75498.776,-820.224,1,1
71641,71213.108,-427.892,1,1
68547,67805.028,-741.972,0,0
66486,66061.844,-424.156,0,0
65413,65007.454,-405.546,0,0
65618,64941.261,-676.739,0,0
66666,66363.005,-302.995,0,0
70475,70111.951,-363.049,0,0
76767,76375.44,-391.56,1,1
81490,80737.526,-752.474,1,1
83337,82785.869,-551.131,1,1
84104,83404.221,-699.779,1,1
83716,83381.665,-334.335,1,1
83695,83134.167,-560.833,1,1
83067,82607.449,-459.551,1,1
82647,82050.896,-596.104,1,1
81563,81205.648,-357.352,1,1
80387,80157.307,-229.693,1,1
80636,80234.754,-401.246,1,1
81259,80864.019,-394.981,1,1
81533,81106.861,-426.139,1,1
82402,82229.751,-172.249,1,1
84113,84075.492,-37.508,1,1
82493,82107.956,-385.044,1,1
78136,77703.54,-432.46,1,1
73708,73578.53,-129.47,1,1
71241,70670.63,-570.37,0,0
69492,69114.234,-377.766,0,0
68740,68587.404,-152.596,0,0
68865,68718.704,-146.296,0,0
70486,70377.157,-108.843,0,0
74675,74630.795,-44.205,1,1
81302,81115.272,-186.728,1,1
85837,84924.86,-912.14,1,1
86783,85241.02,-1541.98,1,1
85953,84683.719,-1269.281,1,1
84795,84249.405,-545.595,1,1
83414,83750.798,336.798,1,1
82885,82972.383,87.383,1,1
81516,81622.498,106.498,1,1
80801,79843.885,-957.115,1,1
79475,78614.648,-860.352,1,1
78906,78027.006,-878.994,1,1
79346,78284.765,-1061.235,1,1
79363,78733.146,-629.854,1,1
80116,79720.984,-395.016,1,1
81451,81211.696,-239.304,1,1
80067,79932.002,-134.998,1,1
76900,76419.312,-480.688,1,1
73278,72615.326,-662.674,1,1
70033,69502.628,-530.372,0,0
68163,67705.313,-457.687,0,0
67305,66953.151,-351.849,0,0
67080,66854.335,-225.665,0,0
67966,67465.555,-500.445,0,0
69588,69352.496,-235.504,0,0
71942,72059.668,117.668,1,1
74872,74018.373,-853.627,1,1
76868,75131.293,-1736.707,1,1
76943,75301.554,-1641.446,1,1
75616,74978.746,-637.254,1,1
74540,74118.32,-421.68,1,1
73287,72923.117,-363.883,1,1
72090,71927.743,-162.257,1,1
70858,70870.008,12.008,1,1
70786,70721.674,-64.326,0,0
71478,71181.467,-296.533,1,1
72688,72232.208,-455.792,1,1
74045,73099.621,-945.379,1,1
75678,74199.184,-1478.816,1,1
77342,75935.539,-1406.461,1,1
75337,75113.667,-223.333,1,1
