dap,target,,
80390,79055.578,,
81500,79842.765,,
81619,79719.704,,
81194,79809.138,,
81649,80288.728,,
81252,81101.783,,
82352,82155.606,,
82869,83150.2,,
83928,84650.306,,
85248,86430.926,,
86260,88040.291,,
88192,88729.632,,
90077,88152.48,,
89962,88594.219,,
86623,86055.427,,
80754,80265.569,,
74812,74459.098,,
71098,69811.814,,
67990,66648.435,,
65706,64661.676,,
64710,63653.633,,
65454,64295.935,,
69200,67408.901,,
73889,72514.535,,
79103,76605.411,,
81554,79422.827,,
83627,81288.213,,
85911,83167.957,,
86897,85238.501,,
89120,87124.344,,
90915,89211.01,,
92663,91248.374,,
93978,92342.52,,
95313,93633.294,,
95825,94349.364,,
95430,93778.534,,
94616,92973.791,,
93857,93593.278,,
90957,90158.667,,
84794,84099.003,,
78819,77927.332,,
73786,73039.956,,
70711,69714.593,,
68680,67535.776,,
67161,66404.27,,
67942,66898.931,,
71203,69992.969,,
77310,75519.909,,
82487,80222.294,,
84477,83401.459,,
86378,85630.198,,
88349,87375.584,,
90034,88964.617,,
91592,90250.326,,
92556,91335.238,,
93126,91549.107,,
93752,91030.806,,
93863,90647.469,,
92096,91104.173,,
90674,90242.238,,
92117,89557.374,,
90854,89250.936,,
88211,86649.809,,
83424,81613.995,,
77979,75826.02,,
70518,71149.968,,
68640,68207.055,,
66698,65966.135,,
66072,64886.264,,
66174,65388.109,,
69156,68189.27,,
74849,72941.692,,
79002,77031.149,,
80978,78875.913,,
80708,79569.726,,
81218,80224.281,,
80825,80689.357,,
80972,80609.718,,
81469,80342.731,,
81133,79765.561,,
80210,79107.968,,
80091,78976.189,,
79850,78316.973,,
79577,77808.187,,
79126,77427.687,,
79777,78360.747,,
77991,77576.97,,
74274,74053.041,,
70204,70006.354,,
66880,66774.197,,
64998,64642.276,,
64187,63515.062,,
63890,63338.665,,
64244,63831.794,,
65927,65386.584,,
68288,67623.294,,
70328,69856.096,,
72258,71197.902,,
72840,71209.163,,
72210,70913.749,,
70986,69948.905,,
70215,68915.614,,
69075,68128.547,,
67927,67777.993,,
67926,67969.926,,
68762,69293.02,,
70852,71121.03,,
72204,72517.363,,
74446,73124.579,,
75884,74632.494,,
74225,74039.13,,
71078,71134.63,,
67749,67271.609,,
64243,64014.208,,
62234,61711.485,,
60781,60168.167,,
60011,59449.528,,
59802,59395.649,,
60758,60127.765,,
61917,60847.358,,
63551,62213.857,,
65257,64903.366,,
67986,66851.545,,
70127,68449.472,,
71125,69761.884,,
72309,71158.799,,
73575,72631.057,,
74226,74578.751,,
75868,77127.515,,
79091,80090.773,,
81593,82657.037,,
83685,83505.141,,
85112,83284.633,,
84795,84088.584,,
82344,82199.322,,
77228,77356.975,,
