,dap,class,
1039,80390,1,","
1040,81500,1,","
1041,81619,1,","
1042,81194,1,","
1043,81649,1,","
1044,81252,1,","
1045,82352,1,","
1046,82869,1,","
1047,83928,1,","
1048,85248,1,","
1049,86260,1,","
1050,88192,1,","
1051,90077,1,","
1052,89962,1,","
1053,86623,1,","
1054,80754,1,","
1055,74812,1,","
1056,71098,0,","
1057,67990,0,","
1058,65706,0,","
1059,64710,0,","
1060,65454,0,","
1061,69200,0,","
1062,73889,1,","
1063,79103,1,","
1064,81554,1,","
1065,83627,1,","
1066,85911,1,","
1067,86897,1,","
1068,89120,1,","
1069,90915,1,","
1070,92663,1,","
1071,93978,1,","
1072,95313,1,","
1073,95825,1,","
1074,95430,1,","
1075,94616,1,","
1076,93857,1,","
1077,90957,1,","
1078,84794,1,","
1079,78819,1,","
1080,73786,1,","
1081,70711,0,","
1082,68680,0,","
1083,67161,0,","
1084,67942,0,","
1085,71203,0,","
1086,77310,1,","
1087,82487,1,","
1088,84477,1,","
1089,86378,1,","
1090,88349,1,","
1091,90034,1,","
1092,91592,1,","
1093,92556,1,","
1094,93126,1,","
1095,93752,1,","
1096,93863,1,","
1097,92096,1,","
1098,90674,1,","
1099,92117,1,","
1100,90854,1,","
1101,88211,1,","
1102,83424,1,","
1103,77979,1,","
1104,70518,0,","
1105,68640,0,","
1106,66698,0,","
1107,66072,0,","
1108,66174,0,","
1109,69156,0,","
1110,74849,1,","
1111,79002,1,","
1112,80978,1,","
1113,80708,1,","
1114,81218,1,","
1115,80825,1,","
1116,80972,1,","
1117,81469,1,","
1118,81133,1,","
1119,80210,1,","
1120,80091,1,","
1121,79850,1,","
1122,79577,1,","
1123,79126,1,","
1124,79777,1,","
1125,77991,1,","
1126,74274,1,","
1127,70204,0,","
1128,66880,0,","
1129,64998,0,","
1130,64187,0,","
1131,63890,0,","
1132,64244,0,","
1133,65927,0,","
1134,68288,0,","
1135,70328,0,","
1136,72258,1,","
1137,72840,1,","
1138,72210,1,","
1139,70986,0,","
1140,70215,0,","
1141,69075,0,","
1142,67927,0,","
1143,67926,0,","
1144,68762,0,","
1145,70852,0,","
1146,72204,1,","
1147,74446,1,","
1148,75884,1,","
1149,74225,1,","
1150,71078,0,","
1151,67749,0,","
1152,64243,0,","
1153,62234,0,","
1154,60781,0,","
1155,60011,0,","
1156,59802,0,","
1157,60758,0,","
1158,61917,0,","
1159,63551,0,","
1160,65257,0,","
1161,67986,0,","
1162,70127,0,","
1163,71125,0,","
1164,72309,1,","
1165,73575,1,","
1166,74226,1,","
1167,75868,1,","
1168,79091,1,","
1169,81593,1,","
1170,83685,1,","
1171,85112,1,","
1172,84795,1,","
1173,82344,1,","
1174,77228,1,","
1175,72326,1,","
1176,68432,0,","
1177,65819,0,","
1178,64451,0,","
1179,63469,0,","
1180,64368,0,","
1181,67803,0,","
1182,73564,1,","
1183,78285,1,","
1184,80555,1,","
1185,81666,1,","
1186,83838,1,","
1187,85339,1,","
1188,86106,1,","
1189,86824,1,","
1190,87076,1,","
1191,88401,1,","
1192,89095,1,","
1193,88639,1,","
1194,88506,1,","
1195,88042,1,","
1196,87886,1,","
1197,84525,1,","
1198,78876,1,","
1199,73348,1,","
1200,70236,0,","
1201,67243,0,","
1202,65593,0,","
1203,65016,0,","
1204,65949,0,","
1205,69512,0,","
1206,76073,1,","
1207,80513,1,","
1208,83151,1,","
1209,83979,1,","
1210,85852,1,","
1211,88069,1,","
1212,90269,1,","
1213,91681,1,","
1214,92958,1,","
1215,94173,1,","
1216,94561,1,","
1217,94470,1,","
1218,93692,1,","
1219,93073,1,","
1220,90618,1,","
1221,87990,1,","
1222,82948,1,","
1223,76083,1,","
1224,71615,1,","
1225,68658,0,","
1226,66255,0,","
1227,65759,0,","
1228,66674,0,","
1229,70262,0,","
1230,76011,1,","
1231,80559,1,","
1232,82304,1,","
1233,83044,1,","
1234,83959,1,","
1235,85157,1,","
1236,85985,1,","
1237,86516,1,","
1238,86569,1,","
1239,86682,1,","
1240,86698,1,","
1241,86329,1,","
1242,86954,1,","
1243,86187,1,","
1244,86068,1,","
1245,83430,1,","
1246,78113,1,","
1247,72625,1,","
1248,68117,0,","
1249,65971,0,","
1250,65198,0,","
1251,65073,0,","
1252,66301,0,","
1253,70044,0,","
1254,76468,1,","
1255,80681,1,","
1256,81496,1,","
1257,81383,1,","
1258,80512,1,","
1259,79941,1,","
1260,79633,1,","
1261,78838,1,","
1262,78411,1,","
1263,78472,1,","
1264,78943,1,","
1265,79645,1,","
1266,80164,1,","
1267,80703,1,","
1268,81923,1,","
1269,80158,1,","
1270,75961,1,","
1271,71607,1,","
1272,67965,0,","
1273,66006,0,","
1274,64923,0,","
1275,64829,0,","
1276,65904,0,","
1277,69512,0,","
1278,75520,1,","
1279,79645,1,","
1280,81315,1,","
1281,81118,1,","
1282,81000,1,","
1283,80532,1,","
1284,79732,1,","
1285,79248,1,","
1286,78702,1,","
1287,77982,1,","
1288,78503,1,","
1289,78906,1,","
1290,79036,1,","
1291,78967,1,","
1292,80336,1,","
1293,78169,1,","
1294,74631,1,","
1295,70983,0,","
1296,68223,0,","
1297,66271,0,","
1298,65369,0,","
1299,65054,0,","
1300,65642,0,","
1301,67059,0,","
1302,69386,0,","
1303,71728,1,","
1304,73886,1,","
1305,74888,1,","
1306,75127,1,","
1307,74552,1,","
1308,73583,1,","
1309,72514,1,","
1310,71635,1,","
1311,71219,0,","
1312,71748,1,","
1313,72578,1,","
1314,73390,1,","
1315,74168,1,","
1316,75967,1,","
1317,75200,1,","
1318,72868,1,","
1319,69689,0,","
1320,66545,0,","
1321,64670,0,","
1322,63635,0,","
1323,63431,0,","
1324,63781,0,","
1325,64880,0,","
1326,66238,0,","
1327,67862,0,","
1328,69940,0,","
1329,71175,0,","
1330,72057,1,","
1331,72519,1,","
1332,73162,1,","
1333,72533,1,","
1334,72056,1,","
1335,72008,1,","
1336,72954,1,","
1337,74122,1,","
1338,75013,1,","
1339,76443,1,","
1340,78556,1,","
1341,77363,1,","
1342,73775,1,","
1343,69945,0,","
1344,66996,0,","
1345,65436,0,","
1346,64926,0,","
1347,65027,0,","
1348,66808,0,","
1349,70570,0,","
1350,76861,1,","
1351,81078,1,","
1352,82609,1,","
1353,83252,1,","
1354,83467,1,","
1355,82884,1,","
1356,82446,1,","
1357,81543,1,","
1358,80846,1,","
1359,79747,1,","
1360,79768,1,","
1361,80457,1,","
1362,80578,1,","
1363,81196,1,","
1364,82763,1,","
1365,81074,1,","
1366,76724,1,","
1367,72314,1,","
1368,68660,0,","
1369,66737,0,","
1370,65837,0,","
1371,65910,0,","
1372,67297,0,","
1373,70912,0,","
1374,76731,1,","
1375,80639,1,","
1376,81794,1,","
1377,81437,1,","
1378,81046,1,","
1379,80562,1,","
1380,80148,1,","
1381,79197,1,","
1382,78712,1,","
1383,78863,1,","
1384,80146,1,","
1385,80578,1,","
1386,81075,1,","
1387,80845,1,","
1388,82163,1,","
1389,81234,1,","
1390,77033,1,","
1391,72948,1,","
1392,68551,0,","
1393,67503,0,","
1394,66504,0,","
1395,66221,0,","
1396,67932,0,","
1397,71332,0,","
1398,76802,1,","
1399,80414,1,","
1400,81434,1,","
1401,80608,1,","
1402,80037,1,","
1403,79688,1,","
1404,79193,1,","
1405,79633,1,","
1406,78868,1,","
1407,78919,1,","
1408,78563,1,","
1409,79287,1,","
1410,79720,1,","
1411,80034,1,","
1412,81408,1,","
1413,79763,1,","
1414,75597,1,","
1415,71160,0,","
1416,67982,0,","
1417,66101,0,","
1418,65164,0,","
1419,65177,0,","
1420,66575,0,","
1421,70662,0,","
1422,76742,1,","
1423,81327,1,","
1424,82474,1,","
1425,81552,1,","
1426,79979,1,","
1427,79438,1,","
1428,79041,1,","
1429,78667,1,","
1430,79070,1,","
1431,78582,1,","
1432,78976,1,","
1433,80151,1,","
1434,80247,1,","
1435,80953,1,","
1436,82138,1,","
1437,80260,1,","
1438,75669,1,","
1439,70970,0,","
1440,68032,0,","
1441,65807,0,","
1442,64743,0,","
1443,64639,0,","
1444,65554,0,","
1445,69589,0,","
1446,76172,1,","
1447,79795,1,","
1448,80808,1,","
1449,81154,1,","
1450,80368,1,","
1451,79969,1,","
1452,80119,1,","
1453,79878,1,","
1454,79459,1,","
1455,79879,1,","
1456,79730,1,","
1457,79177,1,","
1458,78581,1,","
1459,78607,1,","
1460,79695,1,","
1461,78092,1,","
1462,74249,1,","
1463,69743,0,","
1464,65729,0,","
1465,63280,0,","
1466,61859,0,","
1467,61290,0,","
1468,61762,0,","
1469,63334,0,","
1470,65498,0,","
1471,67660,0,","
1472,69592,0,","
1473,71451,1,","
1474,72136,1,","
1475,71935,1,","
1476,72068,1,","
1477,71963,1,","
1478,71977,1,","
1479,73164,1,","
1480,73772,1,","
1481,74281,1,","
1482,74936,1,","
1483,75296,1,","
1484,77011,1,","
1485,76079,1,","
1486,71942,1,","
1487,69089,0,","
1488,63958,0,","
1489,61792,0,","
1490,60347,0,","
1491,59286,0,","
1492,59473,0,","
1493,60300,0,","
1494,60849,0,","
1495,63165,0,","
